"Income_Group_5","gender_hhh","y5","y25","y50","y75","y95","mean"
1,"1",0.0366324108722701,0.052736775265557,0.070938699041853,0.103522416217193,0.185681601945543,0.0865438160270049
1,"2",0.0387419318962505,0.0536916198122653,0.0691611787937887,0.0984329135750784,0.191902597859331,0.0862982884147508
2,"1",0.0370028654167195,0.0532607950175149,0.0706977771670104,0.105419583124327,0.188375267462535,0.0877323237031711
2,"2",0.0396926084428358,0.0536548932478933,0.0722254074576651,0.107536328857864,0.209567243428576,0.092793308760168
3,"1",0.0364766075939032,0.0544463553043043,0.0759257044138775,0.109894950424988,0.192584829994284,0.0910086571274183
3,"2",0.0399906122072038,0.0546741760172567,0.0752621667597112,0.11128399113753,0.216776418649379,0.0957198876000269
4,"1",0.0388811610518442,0.0583380124867451,0.0825830496029772,0.120743839631892,0.220342168973356,0.0997240730842368
4,"2",0.0375754390584992,0.0573214042438322,0.0832053992427744,0.124836828604195,0.237374581149438,0.102467053163567
5,"1",0.0466014745159639,0.0764325929326245,0.103197441741442,0.144945764232818,0.243035694736129,0.119815910063156
5,"2",0.041137446990065,0.0708710760244176,0.0942854238716946,0.142983907281351,0.258435207109312,0.117774533065335
