"","variable_name","intercept","standard_error","signif"
"(Intercept)","(Intercept)",0.675996568592969,1.04953175291801,""
"log_expenditures_hh","log_expenditures_hh",-0.411137067286132,0.108238719396231,"***"
"provinceEastern Cape","provinceEastern Cape",0.155065044352899,0.259597750574622,""
"provinceNorthern Cape","provinceNorthern Cape",0.174272167065383,0.320841056338558,""
"provinceFree State","provinceFree State",-0.0235725833860043,0.286861779226858,""
"provinceKwaZulu-Natal","provinceKwaZulu-Natal",0.505669278503362,0.240943841933991,"*"
"provinceNorth West","provinceNorth West",0.930795164276679,0.263545352671921,"***"
"provinceGauteng","provinceGauteng",0.697734231253989,0.202538260421254,"***"
"provinceMpumalanga","provinceMpumalanga",0.430854030075402,0.273778863309209,""
"provinceLimpopo","provinceLimpopo",0.919602104949576,0.277650087479778,"***"
"urban_1Urban informal","urban_1Urban informal",0.141823018221696,0.438234076791689,""
"urban_1Traditional area","urban_1Traditional area",0.404118169307003,0.225140754080495,""
"urban_1Rural formal","urban_1Rural formal",-0.128127103483132,0.329467297107068,""
"gender_hhhFemale","gender_hhhFemale",0.0349442700031648,0.136208397937887,""
"ethnicity_hhhColoured","ethnicity_hhhColoured",0.213061908851126,0.274502525793405,""
"ethnicity_hhhIndian/Asian","ethnicity_hhhIndian/Asian",0.74723938586702,0.285957265683036,"**"
"ethnicity_hhhWhite","ethnicity_hhhWhite",1.12681211638792,0.167104518969909,"***"
"education_hhhNo Schooling","education_hhhNo Schooling",1.03029254606451,0.608399641846181,""
"education_hhhPre-primary Education","education_hhhPre-primary Education",-14.0672752747194,1186.18580175653,""
"education_hhhPrimary Education","education_hhhPrimary Education",0.74858413309251,0.526125079107471,""
"education_hhhLower Secondary Education","education_hhhLower Secondary Education",0.600531746409523,0.312220205872657,""
"education_hhhPost-secondary Non-tertiary Education","education_hhhPost-secondary Non-tertiary Education",-0.224700452611386,0.160877663887763,""
"education_hhhShort-cycle Tertiary Education","education_hhhShort-cycle Tertiary Education",0.225241295558981,0.225329864294757,""
"education_hhhBachelors or Equivalent","education_hhhBachelors or Equivalent",0.0580474146852498,0.184305662477339,""
"education_hhhMasters or Equivalent","education_hhhMasters or Equivalent",0.522235746617164,0.30845629614576,""
"education_hhhOther","education_hhhOther",1.44264428702227,0.555658102949155,"**"
"own_vehicleNo Access","own_vehicleNo Access",0.142711182423926,0.179142364140917,""
"own_vehicleOther","own_vehicleOther",0.353881268333566,0.270101611338426,""
"own_stoveNo Access","own_stoveNo Access",0.0913544296140599,0.294333725796406,""
"own_stoveOther","own_stoveOther",-0.242139347144492,0.228669168682862,""
"electricitysourceNo Access","electricitysourceNo Access",-0.157868213912346,1.78068801481156,""
"electricitysourceOther","electricitysourceOther",-2.34803182036863,1.01551770176758,"*"
"electricityfreeFree Electricity","electricityfreeFree Electricity",0.110570199497221,0.218117929141742,""
"electricityfreeOther","electricityfreeOther",-0.0896991790360894,0.305884714343132,""
"lightingsourceElectricity Other","lightingsourceElectricity Other",-7.1335219068821,769.058812287206,""
"lightingsourceParaffin","lightingsourceParaffin",0.625171264122964,1.71096782598363,""
"lightingsourceCandles","lightingsourceCandles",1.98463127871325,1.97359429112349,""
"lightingsourceSolar Energy","lightingsourceSolar Energy",-0.109021524430451,1.34230989467257,""
"lightingsourceOther","lightingsourceOther",1.13349902610812,1.32071144921469,""
"cookingsourceElectricity Other","cookingsourceElectricity Other",-12.7012191110182,740.933056454946,""
"cookingsourceGas","cookingsourceGas",0.332867360073501,0.230017751649982,""
"cookingsourceParaffin","cookingsourceParaffin",17.5125298883423,657.06919912705,""
"cookingsourceCoal","cookingsourceCoal",1.70616105581869,3393.46896504261,""
"cookingsourceWood","cookingsourceWood",0.221141626519681,0.963456161849826,""
"cookingsourceOther","cookingsourceOther",1.25558792270502,2624.90222109674,""
"heatingsourcewaterElectricity Other","heatingsourcewaterElectricity Other",-11.9359794383285,769.055390032533,""
"heatingsourcewaterGas","heatingsourcewaterGas",0.111357884500367,0.527602434675315,""
"heatingsourcewaterParaffin","heatingsourcewaterParaffin",-19.3050440162976,657.072338006013,""
"heatingsourcewaterCoal","heatingsourcewaterCoal",-15.7920725260618,2399.54494433323,""
"heatingsourcewaterWood","heatingsourcewaterWood",-0.580811280644316,1.24613727846649,""
"heatingsourcewaterAnimal Dung","heatingsourcewaterAnimal Dung",-13.4637715010381,2399.54473945593,""
"heatingsourcewaterSolar Energy","heatingsourcewaterSolar Energy",-0.273898496780926,0.508537476752393,""
"heatingsourcewaterNo Access","heatingsourcewaterNo Access",-16.807269435078,3556.39297792132,""
"heatingsourcewaterOther","heatingsourcewaterOther",-14.3717097194354,2399.54475864635,""
"heatingsourcespaceElectricity Other","heatingsourcespaceElectricity Other",0.792905018389471,1.22168282118465,""
"heatingsourcespaceGas","heatingsourcespaceGas",0.0551156830345767,0.260975665007403,""
"heatingsourcespaceParaffin","heatingsourcespaceParaffin",0.789901218086726,0.323972674231499,"*"
"heatingsourcespaceCoal","heatingsourcespaceCoal",0.723493170977474,0.813693076187951,""
"heatingsourcespaceWood","heatingsourcespaceWood",0.0593207435739219,0.373409225415171,""
"heatingsourcespaceAnimal Dung","heatingsourcespaceAnimal Dung",-13.2902827372361,1695.27032600264,""
"heatingsourcespaceSolar Energy","heatingsourcespaceSolar Energy",-14.5641150688688,1055.95253711188,""
"heatingsourcespaceNo Access","heatingsourcespaceNo Access",-0.0920336691192953,0.164619974708548,""
"heatingsourcespaceOther","heatingsourcespaceOther",0.430347871727684,1.13391920852319,""
